YEAR,Proportion_5,Geo,Units,Population,Non_Hispanic_White
1990,0,Block,281342,17928418,220283
1990,0,Block Group,12582,12759843,230759
1990,0,Tract,2996,10632970,210885
1990,0.05,Block,45753,5015918,365862
1990,0.05,Block Group,4165,5031668,369129
1990,0.05,Tract,1144,4820672,356754
1990,0.1,Block,38974,3834964,473990
1990,0.1,Block Group,3137,3803857,472483
1990,0.1,Tract,869,3703906,459332
1990,0.15,Block,32782,3240020,562791
1990,0.15,Block Group,2792,3442758,602231
1990,0.15,Tract,785,3366669,590386
1990,0.2,Block,32687,3015336,674167
1990,0.2,Block Group,2659,3216954,721942
1990,0.2,Tract,720,3076049,693167
1990,0.25,Block,35654,3009977,825922
1990,0.25,Block Group,2530,3034967,833766
1990,0.25,Tract,779,3218804,886612
1990,0.3,Block,35949,2978178,966959
1990,0.3,Block Group,2577,3103535,1008965
1990,0.3,Tract,775,3154022,1024612
1990,0.35,Block,30721,3000605,1124097
1990,0.35,Block Group,2739,3352621,1258432
1990,0.35,Tract,842,3406672,1276896
1990,0.4,Block,39844,3247319,1378572
1990,0.4,Block Group,3038,3699960,1572064
1990,0.4,Tract,935,3901833,1659433
1990,0.45,Block,31002,3276680,1552874
1990,0.45,Block Group,3314,4048792,1924418
1990,0.45,Tract,1057,4339378,2063757
1990,0.5,Block,57420,4076717,2135061
1990,0.5,Block Group,3715,4525478,2379483
1990,0.5,Tract,1189,5035792,2647596
1990,0.55,Block,46428,4405902,2535471
1990,0.55,Block Group,4190,5170362,2975518
1990,0.55,Tract,1328,5618189,3232749
1990,0.6,Block,61601,5274393,3297506
1990,0.6,Block Group,4953,6050628,3781859
1990,0.6,Tract,1550,6734229,4215608
1990,0.65,Block,72168,6121013,4133266
1990,0.65,Block Group,5858,7082037,4784862
1990,0.65,Tract,1878,8007253,5412271
1990,0.7,Block,80872,7614184,5520061
1990,0.7,Block Group,7248,9042704,6557745
1990,0.7,Tract,2298,9765171,7091992
1990,0.75,Block,115110,9884093,7659994
1990,0.75,Block Group,9251,11265494,8741768
1990,0.75,Tract,2914,12875989,9999022
1990,0.8,Block,161880,13418095,11079501
1990,0.8,Block Group,12903,15713264,12987064
1990,0.8,Tract,3946,17430517,14405826
1990,0.85,Block,216261,19068862,16708754
